job_title,comp_name,comp_type,region,city,salary,contract,positions,years_of_experience,gender
محاسب,شركة مقر العالم للسفريات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,both
بائع,شركة عالم الكهرباء للمقاولات,خاص,Eastern Region,AD DAMMAM,5000.0,دوام كامل,3,0,both
أخصائي عمليات موارد بشرية,شركه دار السلام,خاص,Riyadh,ATH THUMA,4000.0,دوام كامل,2,2,both
ميكانيكي سيارات,مؤسسة لمكو لغيار الزيوت,خاص,Eastern Region,AL HUFUF,5000.0,دوام كامل,10,0,Male
محاسب,مؤسسة فكرة اليمامة للمقاولات,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,both
مراقب كاميرات أمنية,مطاعم تراث الدمشقية للوجبات السريعة,خاص,Riyadh,AR RIYADH,4500.0,عمل عن بعد,1,0,both
سكرتير تنفيذي,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,Riyadh,AR RIYADH,6000.0,دوام كامل,2,4,Female
مدير مكتب,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,Riyadh,AR RIYADH,8000.0,دوام كامل,1,4,Female
أخصائي إدارة مشاريع,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,Riyadh,AR RIYADH,10000.0,دوام كامل,3,2,Female
مصمم جرافيك,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,2,4,Female
أخصائي ذكاء أعمال,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,Riyadh,AR RIYADH,7200.0,دوام كامل,4,0,both
بائع,شركة بيت قطن للتجارة شركة شخص واحد,خاص,Eastern Region,AL BATALI,4000.0,دوام كامل,5,0,both
محلل بيانات,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,Riyadh,AR RIYADH,7200.0,دوام كامل,4,0,both
مدير حساب عميل,مؤسسة عبر السوق لتقنية المعلومات,خاص,Makkah,JEDDAH,6000.0,دوام كامل,3,2,Female
مصمم جرافيك,مكتب مدارات للاستشارات الهندسية,خاص,Hail,HAIL,7000.0,دوام كامل,1,4,Male
مدخل بيانات,مكتب مدارات للاستشارات الهندسية,خاص,Hail,HAIL,3000.0,دوام كامل,2,2,Male
مطور برامج,مكتب مدارات للاستشارات الهندسية,خاص,Hail,HAIL,9000.0,دوام كامل,1,4,Male
أخصائي إدارة اداء,مكتب مدارات للاستشارات الهندسية,خاص,Hail,HAIL,12000.0,دوام كامل,1,10,Male
مدخل بيانات,شركة إرتقاء المتحدة لاجهزة السلامة,خاص,Makkah,JEDDAH,4000.0,دوام كامل,1,2,Female
كيميائي,شركة الغدير الدوليه للتسويق,خاص,Makkah,MAKKAH AL,5500.0,دوام كامل,1,0,Female
محاسب,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,Riyadh,AR RIYADH,5000.0,دوام كامل,1,0,Female
مهندس زراعي,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,Makkah,MAKKAH AL,8400.0,دوام كامل,1,2,Male
محاسب,شركة خدمات للوقود,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,2,Female
محلل نظم المعلومات,شركة الذهبيه الهندسيه للمقاولات (شركة شخص واحد),خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,4,2,both
محاسب,مؤسسة سلاسل بابل للمقاولات,خاص,Makkah,GHITHAH,4000.0,دوام كامل,1,0,Female
مدير عام,ورشة اضواء المشاعل للحدادة والالمنيوم,خاص,Madinah,AL MADINA,4000.0,دوام كامل,1,0,Male
مساعد إداري,مؤسسة اتجاهات النجاح للمقاولات,خاص,Riyadh,AR RIYADH,4000.0,دوام كامل,1,0,Female
